"","code","coding_system","description","entity","list_name","upload_date"
"86","9iFH","Read","South and Central American - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"87","9iFK","Read","Any other group - ethnic category 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"88","9iG","Read","Ethnic category not stated - 2001 census","test","161 - res17: Ethnicity","2014-09-24"
"89","9S","Read","Ethnic groups (census)","test","161 - res17: Ethnicity","2014-09-24"
"90","9S12","Read","Other white ethnic group","test","161 - res17: Ethnicity","2014-09-24"
"91","9S14","Read","Other white British ethnic group","test","161 - res17: Ethnicity","2014-09-24"
"92","9SA","Read","Other ethnic non-mixed (NMO)","test","161 - res17: Ethnicity","2014-09-24"
"93","9SA1","Read","Brit. ethnic minor. spec.(NMO)","test","161 - res17: Ethnicity","2014-09-24"
"94","9SA2","Read","Brit. ethnic minor. unsp (NMO)","test","161 - res17: Ethnicity","2014-09-24"
"95","9SAD","Read","Other ethnic NEC (NMO)","test","161 - res17: Ethnicity","2014-09-24"
"96","9SD","Read","Ethnic group not given - patient refused","test","161 - res17: Ethnicity","2014-09-24"
"97","9SE","Read","Ethnic group not recorded","test","161 - res17: Ethnicity","2014-09-24"
"98","9SG","Read","Other black ethnic group","test","161 - res17: Ethnicity","2014-09-24"
"99","9SH","Read","Other Asian ethnic group","test","161 - res17: Ethnicity","2014-09-24"
"100","9SJ","Read","Other ethnic group","test","161 - res17: Ethnicity","2014-09-24"
"101","9SZ","Read","Ethnic groups (census) NOS","test","161 - res17: Ethnicity","2014-09-24"
"102","9T","Read","Ethnicity and other related nationality data","test","161 - res17: Ethnicity","2014-09-24"
"103","9T1","Read","New Zealand ethnic groups","test","161 - res17: Ethnicity","2014-09-24"
"104","9T11","Read","New Zealand European","test","161 - res17: Ethnicity","2014-09-24"
"105","9T11-1","Read","Pakeha","test","161 - res17: Ethnicity","2014-09-24"
"106","9T12","Read","Other European in New Zealand","test","161 - res17: Ethnicity","2014-09-24"
"107","9T13","Read","New Zealand Maori","test","161 - res17: Ethnicity","2014-09-24"
"108","9T14","Read","Samoan","test","161 - res17: Ethnicity","2014-09-24"
"109","9T15","Read","Cook Island Maori","test","161 - res17: Ethnicity","2014-09-24"
"110","9T16","Read","Tongan","test","161 - res17: Ethnicity","2014-09-24"
"111","9T17","Read","Niuean","test","161 - res17: Ethnicity","2014-09-24"
"112","9T18","Read","Tokelauan","test","161 - res17: Ethnicity","2014-09-24"
"113","9T19","Read","Fijian","test","161 - res17: Ethnicity","2014-09-24"
"114","9T1A","Read","Other Pacific ethnic group","test","161 - res17: Ethnicity","2014-09-24"
"115","9T1B","Read","South East Asian","test","161 - res17: Ethnicity","2014-09-24"
"116","9T1C","Read","Chinese","test","161 - res17: Ethnicity","2014-09-24"
"117","9T1D","Read","Indian","test","161 - res17: Ethnicity","2014-09-24"
"118","9T1E","Read","Other Asian","test","161 - res17: Ethnicity","2014-09-24"
"119","9T1Y","Read","Other New Zealand ethnic group","test","161 - res17: Ethnicity","2014-09-24"
"120","9T1Z","Read","New Zealand ethnic group NOS","test","161 - res17: Ethnicity","2014-09-24"
"121","9T2","Read","Traveller - gypsy","test","161 - res17: Ethnicity","2014-09-24"
"122","9T3","Read","Yemeni","test","161 - res17: Ethnicity","2014-09-24"
"123","9T4","Read","Romanian","test","161 - res17: Ethnicity","2014-09-24"
"124","9T5","Read","Bulgarian","test","161 - res17: Ethnicity","2014-09-24"
"125","9T6","Read","Czech","test","161 - res17: Ethnicity","2014-09-24"
"126","9T7","Read","Slovak","test","161 - res17: Ethnicity","2014-09-24"
"127","9T8","Read","Portuguese","test","161 - res17: Ethnicity","2014-09-24"
"128","9T9","Read","Nepali","test","161 - res17: Ethnicity","2014-09-24"
"129","EMISNQBR14","Read","Brazilian","test","161 - res17: Ethnicity","2014-09-24"
"130","EMISNQPO8","Read","Portuguese","test","161 - res17: Ethnicity","2014-09-24"
